"First Name","Last Name","Sex","Email","GPA","IELTS","Top 10","Consent"
"Constance","Batz","Female","reichert_danny@hotmail.com","3","7","76a85f78-cff9-4971-9e4d-c64aedae3236","Yes"
"Andres","Auer","Male","colinjacobson1989@gmail.com","2","6","13004efa-e405-422e-8931-ed5831a550dd","Yes"
"Cody","Kshlerin","Male","simongutmann@hotmail.com","3","9","286939f8-7144-4184-a530-93d211114002","Yes"
"Donna","Kessler","Male","duane.sipes@gmail.com","5","6","10149d0a-233f-4aa5-bf35-2397740dbd3a","Yes"
"Wilma","Simonis","Male","sonya_stiedemann@gmail.com","3","8","d23970c4-a2e5-4dee-bf1e-31b6a2f8ff64","Yes"
"Irene","Goldner","Male","feliciaboyer1976@outlook.com","2","6","f7603905-5a55-4e80-bfc4-7471b651a72c","Yes"
"Esther","Moen","Male","feestmiranda@yahoo.com","3","6","36e2695b-9c13-4efa-8028-a468d2db641d","Yes"
"Jamie","Keebler","Male","percy.boyle@outlook.com","2","6","0ec39655-62b8-4183-87cc-baefdaf0151a","Yes"
"Billy","Jones","Female","rubybrown2001@yahoo.com","2","7","7bcf9794-fee7-4f2a-aa92-9d9995c1e295","Yes"
"Adrian","Kunze","Male","kreiger_velma@yahoo.com","4","6","9fbdb746-b4ca-40f4-959a-dfd87207407d","Yes"
